trajectory,dt,action_index,frustration
astropy-13236,0,38,1.000000
astropy-13236,0,39,1.000000
astropy-13236,0,40,1.000000
astropy-13236,0,41,1.000000
astropy-13236,0,42,1.000000
astropy-13236,0,43,1.000000
astropy-13236,5,0,0.100000
astropy-13236,5,1,0.100000
astropy-13236,5,2,0.100000
astropy-13236,5,3,0.150000
astropy-13236,5,4,0.148858
astropy-13236,5,5,0.147742
astropy-13236,5,6,0.146652
astropy-13236,5,7,0.245586
astropy-13236,5,8,0.342261
astropy-13236,5,9,0.437550
astropy-13236,5,10,0.430985
astropy-13236,5,11,0.423425
astropy-13236,5,12,0.416038
astropy-13236,5,13,0.458820
astropy-13236,5,14,0.500624
astropy-13236,5,15,0.541474
astropy-13236,5,16,0.531391
astropy-13236,5,17,0.521538
astropy-13236,5,18,0.561910
astropy-13236,5,19,0.551360
astropy-13236,5,20,0.541051
astropy-13236,5,21,0.580977
astropy-13236,5,22,0.619992
astropy-13236,5,23,0.608115
astropy-13236,5,24,0.646510
astropy-13236,5,25,0.634027
astropy-13236,5,26,0.621830
astropy-13236,5,27,0.659912
astropy-13236,5,28,0.797123
astropy-13236,5,29,0.781201
astropy-13236,5,30,0.815642
astropy-13236,5,31,0.849297
astropy-13236,5,32,0.882183
astropy-13236,5,33,0.914318
astropy-13236,5,34,0.945719
astropy-13236,5,35,0.926403
astropy-13236,5,36,0.907528
astropy-13236,5,37,1.000000
astropy-13236,5,38,0.979444
astropy-13236,5,39,1.000000
astropy-13236,5,40,1.000000
astropy-13236,5,41,0.979444
astropy-13236,5,42,0.959357
astropy-13236,5,43,0.939730
astropy-13236,15,0,0.100000
astropy-13236,15,1,0.100000
astropy-13236,15,2,0.100000
astropy-13236,15,3,0.150000
astropy-13236,15,4,0.146652
astropy-13236,15,5,0.143528
astropy-13236,15,6,0.140613
astropy-13236,15,7,0.237893
astropy-13236,15,8,0.328659
astropy-13236,15,9,0.415576
astropy-13236,15,10,0.397520
astropy-13236,15,11,0.377596
astropy-13236,15,12,0.359006
astropy-13236,15,13,0.391661
astropy-13236,15,14,0.422130
astropy-13236,15,15,0.450558
astropy-13236,15,16,0.427082
astropy-13236,15,17,0.405178
astropy-13236,15,18,0.434741
astropy-13236,15,19,0.412325
astropy-13236,15,20,0.391409
astropy-13236,15,21,0.421894
astropy-13236,15,22,0.450338
astropy-13236,15,23,0.426877
astropy-13236,15,24,0.454987
astropy-13236,15,25,0.431215
astropy-13236,15,26,0.409034
astropy-13236,15,27,0.438339
astropy-13236,15,28,0.565681
astropy-13236,15,29,0.534496
astropy-13236,15,30,0.555399
astropy-13236,15,31,0.574903
astropy-13236,15,32,0.593100
astropy-13236,15,33,0.610078
astropy-13236,15,34,0.625920
astropy-13236,15,35,0.590701
astropy-13236,15,36,0.557840
astropy-13236,15,37,0.677180
astropy-13236,15,38,0.638528
astropy-13236,15,39,0.752464
astropy-13236,15,40,0.758771
astropy-13236,15,41,0.714655
