trajectory,dt,action_index,frustration
13398,5,25,0.707131
13398,5,26,0.693265
13398,5,27,0.679714
13398,5,28,0.666474
13398,5,29,0.753535
13398,5,30,0.738609
13398,5,31,0.724023
13398,5,32,0.709770
13398,5,33,0.695843
13398,5,34,0.682234
13398,5,35,0.668936
13398,5,36,0.655941
13398,5,37,0.643243
13398,5,38,0.680836
13398,5,39,0.667569
13398,5,40,0.654606
13398,5,41,0.641939
13398,5,42,0.629561
13398,5,43,0.617466
13398,5,44,0.605647
13398,5,45,0.694098
13398,5,46,0.680529
13398,5,47,0.667269
13398,5,48,0.654313
13398,5,49,0.641652
13398,5,50,0.629281
13398,5,51,0.617192
13398,5,52,0.605380
13398,5,53,0.593837
13398,5,54,0.582557
13398,5,55,0.571536
13398,15,0,0.100000
13398,15,1,0.100000
13398,15,2,0.100000
13398,15,3,0.150000
13398,15,4,0.146652
13398,15,5,0.143528
13398,15,6,0.140613
13398,15,7,0.137893
13398,15,8,0.185355
13398,15,9,0.329639
13398,15,10,0.314261
13398,15,11,0.299913
13398,15,12,0.386525
13398,15,13,0.467337
13398,15,14,0.546320
13398,15,15,0.620784
13398,15,16,0.690987
13398,15,17,0.657173
13398,15,18,0.619861
13398,15,19,0.585047
13398,15,20,0.552565
13398,15,21,0.572258
13398,15,22,0.540633
13398,15,23,0.511125
13398,15,24,0.483593
13398,15,25,0.457905
13398,15,26,0.433937
13398,15,27,0.411574
13398,15,28,0.390709
13398,15,29,0.471241
13398,15,30,0.446380
13398,15,31,0.423184
13398,15,32,0.401542
13398,15,33,0.381348
13398,15,34,0.362507
13398,15,35,0.344928
13398,15,36,0.328526
13398,15,37,0.313222
13398,15,38,0.348943
13398,15,39,0.332272
13398,15,40,0.316718
13398,15,41,0.302205
13398,15,42,0.288664
13398,15,43,0.276029
13398,15,44,0.264241
13398,15,45,0.353243
13398,15,46,0.336284
13398,15,47,0.320460
13398,15,48,0.305697
13398,15,49,0.291922
13398,15,50,0.279070
13398,15,51,0.267078
13398,15,52,0.255889
13398,15,53,0.245450
13398,15,54,0.235709
13398,15,55,0.226621
13398,60,0,0.100000
13398,60,1,0.100000
13398,60,2,0.100000
13398,60,3,0.150000
13398,60,4,0.137893
13398,60,5,0.128717
13398,60,6,0.121764
13398,60,7,0.116494
13398,60,8,0.162500
13398,60,9,0.297366
13398,60,10,0.249576
13398,60,11,0.213357
13398,60,12,0.285909
13398,60,13,0.340892
13398,60,14,0.382562
13398,60,15,0.414142
13398,60,16,0.438075
13398,60,17,0.356213
13398,60,18,0.294173
13398,60,19,0.247156
13398,60,20,0.211523
13398,60,21,0.226076
13398,60,22,0.195548
13398,60,23,0.172412
13398,60,24,0.154878
13398,60,25,0.141590
13398,60,26,0.131519
13398,60,27,0.123887
13398,60,28,0.118103
13398,60,29,0.213719
13398,60,30,0.186183
13398,60,31,0.165315
13398,60,32,0.149499
13398,60,33,0.137513
13398,60,34,0.128430
13398,60,35,0.121546
13398,60,36,0.116329
13398,60,37,0.112375
13398,60,38,0.159378
13398,60,39,0.145000
13398,60,40,0.134104
13398,60,41,0.125846
13398,60,42,0.119588
13398,60,43,0.114845
13398,60,44,0.111250
13398,60,45,0.208526
13398,60,46,0.182247
13398,60,47,0.162332
13398,60,48,0.147239
13398,60,49,0.135800
13398,60,50,0.127131
13398,60,51,0.120562
13398,60,52,0.115583
13398,60,53,0.111810
13398,60,54,0.108950
13398,60,55,0.106783
13453,0,0,0.100000
13453,0,1,0.100000
13453,0,2,0.150000
13453,0,3,0.150000
13453,0,4,0.200000
13453,0,5,0.350000
13453,0,6,0.350000
13453,0,7,0.350000
13453,0,8,0.350000
13453,0,9,0.350000
13453,0,10,0.350000
13453,0,11,0.407500
13453,0,12,0.557500
13453,0,13,0.807500
13453,0,14,1.000000
13453,0,15,1.000000
13453,0,16,1.000000
13453,0,17,1.000000
13453,0,18,1.000000
13453,0,19,1.000000
13453,0,20,1.000000
13453,0,21,1.000000
13453,0,22,1.000000
13453,0,23,1.000000
13453,0,24,1.000000
13453,0,25,1.000000
13453,0,26,1.000000
13453,0,27,1.000000
13453,0,28,1.000000
13453,0,29,1.000000
13453,0,30,1.000000
13453,5,0,0.100000
13453,5,1,0.100000
13453,5,2,0.150000
13453,5,3,0.148858
13453,5,4,0.197742
13453,5,5,0.345510
13453,5,6,0.339902
13453,5,7,0.334423
13453,5,8,0.329069
13453,5,9,0.323837
13453,5,10,0.318724
13453,5,11,0.363729
13453,5,12,0.507705
13453,5,13,0.748393
13453,5,14,0.985783
13453,5,15,0.968557
13453,5,16,0.951666
13453,5,17,1.000000
13453,5,18,1.000000
13453,5,19,1.000000
13453,5,20,0.979444
13453,5,21,0.959357
13453,5,22,0.989730
13453,5,23,0.969408
13453,5,24,0.949551
13453,5,25,0.930147
13453,5,26,0.911187
13453,5,27,0.892659
13453,5,28,0.874555
13453,5,29,0.856864
13453,5,30,0.839577
13453,15,0,0.100000
13453,15,1,0.100000
13453,15,2,0.150000
13453,15,3,0.146652
13453,15,4,0.193528
13453,15,5,0.337264
13453,15,6,0.321375
13453,15,7,0.306551
13453,15,8,0.292718
13453,15,9,0.279813
13453,15,10,0.267771
13453,15,11,0.306536
13453,15,12,0.442705
13453,15,13,0.669755
13453,15,14,0.887156
13453,15,15,0.842119
13453,15,16,0.799658
13453,15,17,0.852804
13453,15,18,0.902391
13453,15,19,0.948657
13453,15,20,0.891825
13453,15,21,0.838799
13453,15,22,0.839324
13453,15,23,0.789814
13453,15,24,0.743619
13453,15,25,0.700518
13453,15,26,0.660303
13453,15,27,0.622781
13453,15,28,0.587772
13453,15,29,0.555107
13453,15,30,0.524630
13453,60,0,0.100000
13453,60,1,0.100000
13453,60,2,0.150000
13453,60,3,0.137893
13453,60,4,0.178717
13453,60,5,0.309657
13453,60,6,0.258890
13453,60,7,0.220416
13453,60,8,0.191258
13453,60,9,0.169161
13453,60,10,0.152414
13453,60,11,0.189723
13453,60,12,0.317997
13453,60,13,0.515211
13453,60,14,0.678034
13453,60,15,0.556670
13453,60,16,0.446092
13453,60,17,0.452288
13453,60,18,0.466985
13453,60,19,0.478122
13453,60,20,0.386563
13453,60,21,0.317174
13453,60,22,0.314587
13453,60,23,0.262627
13453,60,24,0.223248
13453,60,25,0.193405
13453,60,26,0.170787
13453,60,27,0.153647
13453,60,28,0.140657
13453,60,29,0.130812
13453,60,30,0.123351
